ID,Parent Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price,Category,Derived Products,Acquisition Date
260,Amazon,2016,2,Emvantage Payments,-,-,,-,Amazon Web Services,2016-02-01
261,Amazon,2016,7,Cloud9 IDE,-,-,,-,Amazon Web Services,2016-07-01
262,Amazon,2016,8,"Curse, Inc.",-,-,,-,Curse LLC,2016-08-01
263,Amazon,2016,10,Westland,-,-,,-,Westland,2016-10-01
264,Amazon,2016,11,Partpic,-,-,,-,-,2016-11-01
265,Amazon,2017,1,harvest.ai,-,-,20000000.0,-,Amazon Web Services,2017-01-01
266,Amazon,2017,3,Thinkbox Software,-,-,,-,Amazon Web Services,2017-03-01
267,Amazon,2017,3,Do.com,-,-,,-,Amazon Web Services,2017-03-01
268,Amazon,2017,6,Whole Foods Market,-,-,13700000000.0,-,Whole Foods Market,2017-06-01
269,Amazon,2017,7,Souq.com,-,-,580000000.0,-,Souq.com,2017-07-01
270,Amazon,2017,7,Graphiq,-,-,50000000.0,-,Amazon Web Services,2017-07-01
271,Amazon,2017,7,GameSparks,-,-,10000000.0,-,GameSparks,2017-07-01
272,Amazon,2017,9,Wing.ae,-,-,,-,Souq.com,2017-09-01
273,Amazon,2017,10,Body Labs,-,-,60000000.0,-,Body Labs,2017-10-01
274,Amazon,2017,11,Goo Technologies,-,-,,-,Amazon Sumerian,2017-11-01
275,Amazon,2017,11,Dispatch,-,-,,-,Amazon Scout,2017-11-01
276,Amazon,2017,12,Blink Home,-,-,90000000.0,-,Blink Home,2017-12-01
277,Amazon,2018,1,Sqrrl,-,-,40000000.0,-,Amazon Web Services,2018-01-01
278,Amazon,2018,2,Ring,-,-,839000000.0,-,Ring,2018-02-01
279,Amazon,2018,6,PillPack,-,-,753000000.0,-,PillPack,2018-06-01
280,Amazon,2018,8,Tapzo,-,-,40000000.0,-,Amazon Pay,2018-08-01
281,Amazon,2019,1,CloudEndure,-,-,250000000.0,-,Amazon Web Services,2019-01-01
282,Amazon,2019,1,TSO Logic,-,-,,-,TSOLogic,2019-01-01
283,Amazon,2019,2,Eero,-,-,97000000.0,-,Eero,2019-02-01
284,Amazon,2019,4,Canvas Technology,-,-,,-,Amazon Robotics,2019-04-01
285,Amazon,2019,5,Sizmek Ad Server and Sizmek Dynamic Creative Optimization,-,-,,-,-,2019-05-01
286,Amazon,2019,6,Bebo,-,-,25000000.0,-,Twitch Interactive,2019-06-01
287,Amazon,2019,7,E8 Storage,-,-,,-,Amazon Web Services,2019-07-01
288,Amazon,2019,9,IGDB,-,-,,-,Twitch Interactive,2019-09-01
289,Amazon,2019,9,INLT,-,-,,-,-,2019-09-01
290,Amazon,2020,6,Zoox,-,-,1200000000.0,-,-,2020-06-01
291,Amazon,2020,12,Wondery,-,-,,-,Amazon Music,2020-12-01
292,Amazon,2021,1,Umbra 3D,-,-,,-,Amazon Robotics,2021-01-01
293,Amazon,2021,5,Dbbest,-,-,,-,-,2021-05-01
294,Amazon,2021,5,Metro-Goldwyn-Mayer,-,-,8450000000.0,-,Metro-Goldwyn-Mayer,2021-05-01
295,Amazon,2021,6,Art19,-,-,,-,Amazon Music,2021-06-01
296,Amazon,2021,6,Wickr,-,-,,-,Amazon Web Services,2021-06-01
297,Hp,1958,1,F.L. Moseley Company,Plotter,-,,-,-,1958-01-01
298,Hp,1959,1,Boonton Radio,Flight test instrumentation,-,,-,-,1959-01-01
299,Hp,1961,1,Sanborn Company,Medical equipment,-,,-,-,1961-01-01
300,Hp,1962,11,Neely Enterprises,Sales/manufacturer's representative,-,,-,-,1962-11-01
301,Hp,1965,1,F&M Scientific Corporation,Analytical chemistry,-,,-,-,1965-01-01
302,Hp,1966,1,"Data Systems, Inc",Information technology,-,,-,-,1966-01-01
303,Hp,1973,1,Hupe & Busch,Liquid Chromatography,-,,-,-,1973-01-01
304,Hp,1985,12,"Cericor, Inc.",CAD - Logic Design,-,,-,-,1985-12-01
305,Hp,1989,1,Eon Systems Inc.,Electronics,-,,-,-,1989-01-01
306,Hp,1989,5,Apollo Computer,Computer manufacturer,-,476000000.0,-,-,1989-05-01
307,Hp,1989,11,Certain assets of Optotech Inc.,Disk drive,-,,-,-,1989-11-01
308,Hp,1991,1,Applied Optoelectronic Tech,Automatic test equipment,-,,-,-,1991-01-01
309,Hp,1991,11,Avantek,Transistor,-,,-,-,1991-11-01
310,Hp,1991,12,ABB CADE,Computer software,-,,-,-,1991-12-01
311,Hp,1992,9,Colorado Memory Systems,Magnetic tape,-,,-,-,1992-09-01
312,Hp,1992,9,French and German units of Leasametric,Company leasing,-,,-,-,1992-09-01
313,Hp,1992,10,Computer systems from Texas Instruments,Computer systems,-,,-,-,1992-10-01
314,Hp,1993,1,Ericsson Hewlett Packard Telecom (EHPT) 60% Ericsson and 40% Hewlett-Packard.,Telecoms,-,,-,-,1993-01-01
315,Hp,1993,4,Four Pi Systems Corp.,Automatic test equipment,-,,-,-,1993-04-01
316,Hp,-,1,Metrix Network Systems,Computer networking,-,,-,-,
317,Hp,1993,9,BT&D Technologies,Electronics,-,,-,-,1993-09-01
318,Hp,1993,10,EEsof Inc.,Computer software,-,,-,-,1993-10-01
319,Hp,1994,1,Versatest,Automatic test equipment,-,,-,-,1994-01-01
320,Hp,1994,1,Canstar Systems (an Alcatel Canada Wire Inc division),Fibre Channel switch,-,,-,-,1994-01-01
321,Hp,1995,6,CaLan Inc.,Automatic test equipment,-,,-,-,1995-06-01
322,Hp,1995,9,Convex Computer,Computer manufacturer,-,150000000.0,-,-,1995-09-01
323,Hp,1995,12,ElseWare Corp.,Computer programming,-,,-,-,1995-12-01
324,Hp,1996,2,SecureWare Internet security division,Computer security,-,,-,-,1996-02-01
325,Hp,1996,6,Graphics technology from Parametric Technology Corporation,Graphics hardware,-,9273000.0,-,-,1996-06-01
326,Hp,1996,6,Division Inc.,Computer programming,-,6000000.0,-,-,1996-06-01
327,Hp,1996,7,DP-Tek Development,Imaging,-,,-,-,1996-07-01
328,Hp,1996,8,Trellis Software & Controls,Motion control,-,,-,-,1996-08-01
329,Hp,1997,3,Vital Technology Pte Ltd,Investment,-,,-,-,1997-03-01
330,Hp,1997,4,VeriFone,Electronic bill payment,-,1180000000.0,-,-,1997-04-01
331,Hp,1997,6,PROLIN,Information technology,-,,-,-,1997-06-01
332,Hp,1997,9,Internet printing technology from ForeFront Group,Printing,-,2500000.0,-,-,1997-09-01
333,Hp,1997,11,Nuview ManageX from Nuview Inc.,Business process management,-,,-,-,1997-11-01
334,Hp,1997,11,Optimazation systems,Computer software,-,,-,-,1997-11-01
